title,company,location,link,description,status,notes
"Software Engineer, Hardware Test & Automation (Starlink Subassemblies)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7854391002?gh_jid=7854391002,,applied,Manually submitted through automated process
"Software Engineer, High Performance Computing",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7858987002?gh_jid=7858987002,,applied,Manually submitted through automated process
"Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774921002?gh_jid=7774921002,,applied,Manually submitted through automated process
"Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774929002?gh_jid=7774929002,,applied,Manually submitted through automated process
"Software Engineer, Starship Manufacturing & Site Development (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7664117002?gh_jid=7664117002,,applied,Manually submitted through automated process
Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7777552002?gh_jid=7777552002,,applied,Manually submitted through automated process
Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7600955002?gh_jid=7600955002,,applied,Manually submitted through automated process
Sr. Application Software Engineer,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7794529002?gh_jid=7794529002,,applied,Manually submitted through automated process
"Software Engineer, Simulations (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7641287002?gh_jid=7641287002,,applied,Manually submitted through automated process
Sr. Backend Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7696817002?gh_jid=7696817002,,applied,Manually submitted through automated process
"Sr. Embedded Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7843468002?gh_jid=7843468002,,applied,Manually submitted through automated process
Sr. FPGA Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7818533002?gh_jid=7818533002,,applied,Manually submitted through automated process
Sr. GNC DevOps Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7459465002?gh_jid=7459465002,,applied,Manually submitted through automated process
Sr. GNC Site Reliability Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7584744002?gh_jid=7584744002,,applied,Manually submitted through automated process
Sr. Network Systems Engineer (Starlink) – Lawful Intercept,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774889002?gh_jid=7774889002,,applied,Manually submitted through automated process
Sr. RF Silicon Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7746379002?gh_jid=7746379002,,applied,Manually submitted through automated process
"Sr. RF Software Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795376002?gh_jid=7795376002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775358002?gh_jid=7775358002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7775351002?gh_jid=7775351002,,applied,Manually submitted through automated process
Sr. Security Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7761579002?gh_jid=7761579002,,applied,Manually submitted through automated process
"Sr. Site Reliability Engineer, Data (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682668002?gh_jid=7682668002,,applied,Manually submitted through automated process
Sr. Software Engineer (Computational Geometry),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682708002?gh_jid=7682708002,,applied,Manually submitted through automated process
Sr. Software Engineer (Security - Blue Team),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7879360002?gh_jid=7879360002,,applied,Manually submitted through automated process
Sr. Software Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7717151002?gh_jid=7717151002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Beam Planning (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774905002?gh_jid=7774905002,,applied,Manually submitted through automated process
"Sr. Software Engineer, C++ (Starshield)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7471062002?gh_jid=7471062002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Flight Software (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802076002?gh_jid=7802076002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Flight Software (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7840035002?gh_jid=7840035002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Flight Software (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7839947002?gh_jid=7839947002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Simulations (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7641308002?gh_jid=7641308002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Starlink Ground Stations",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7788994002?gh_jid=7788994002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774923002?gh_jid=7774923002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Starlink Network",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774914002?gh_jid=7774914002,,applied,Manually submitted through automated process
"Sr. Software Engineer, Starship Manufacturing & Site Development (Application Software)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682706002?gh_jid=7682706002,,applied,Manually submitted through automated process
Sr. Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7600962002?gh_jid=7600962002,,applied,Manually submitted through automated process
Sr. Software Infrastructure Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7777569002?gh_jid=7777569002,,applied,Manually submitted through automated process
Sr. Trajectory Analysis Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7593643002?gh_jid=7593643002,,applied,Manually submitted through automated process
Sr. Wi-Fi Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7843421002?gh_jid=7843421002,,applied,Manually submitted through automated process
Sr. Wireless Firmware Engineer (Direct To Cell),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7810242002?gh_jid=7810242002,,applied,Manually submitted through automated process
Sr. Wireless Firmware Engineer (Direct To Cell),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7832611002?gh_jid=7832611002,,applied,Manually submitted through automated process
Sr. Wireless Integration & Test Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7841802002?gh_jid=7841802002,,applied,Manually submitted through automated process
Sr. Wireless Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774896002?gh_jid=7774896002,,applied,Manually submitted through automated process
Trajectory Analysis Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7593593002?gh_jid=7593593002,,applied,Manually submitted through automated process
Trajectory Analysis Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7593603002?gh_jid=7593603002,,applied,Manually submitted through automated process
Wireless Firmware Engineer (Direct To Cell),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7768147002?gh_jid=7768147002,,applied,Manually submitted through automated process
Wireless Firmware Engineer (Direct To Cell),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7766535002?gh_jid=7766535002,,applied,Manually submitted through automated process
Wireless Software Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7774898002?gh_jid=7774898002,,applied,Manually submitted through automated process
Antenna Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795379002?gh_jid=7795379002,,applied,Manually submitted through automated process
Antenna Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7766961002?gh_jid=7766961002,,applied,Manually submitted through automated process
Antenna Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802269002?gh_jid=7802269002,,applied,Manually submitted through automated process
Automation & Controls Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7851395002?gh_jid=7851395002,,applied,Manually submitted through automated process
Avionics Engineer (Dragon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7868666002?gh_jid=7868666002,,applied,Manually submitted through automated process
Avionics Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7857795002?gh_jid=7857795002,,applied,Manually submitted through automated process
Integration & Test Engineer (Bus & Payload Sub-Assemblies),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7791699002?gh_jid=7791699002,,applied,Manually submitted through automated process
Integration & Test Engineer (Bus & Payload Sub-Assemblies) - 2nd shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7831635002?gh_jid=7831635002,,applied,Manually submitted through automated process
Integration & Test Engineer (Fairings),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7634842002?gh_jid=7634842002,,applied,Manually submitted through automated process
Integration & Test Engineer (Fairings) - 2nd Shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7634883002?gh_jid=7634883002,,applied,Manually submitted through automated process
Integration & Test Engineer (Falcon 9 Structures),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7667941002?gh_jid=7667941002,,applied,Manually submitted through automated process
Integration & Test Engineer (Falcon 9 Structures) - 2nd Shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7668020002?gh_jid=7668020002,,applied,Manually submitted through automated process
Integration & Test Engineer (Falcon 9) - 2nd Shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7643785002?gh_jid=7643785002,,applied,Manually submitted through automated process
Integration & Test Engineer (Falcon 9) - Weekend 2nd Shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7682120002?gh_jid=7682120002,,applied,Manually submitted through automated process
Integration & Test Engineer (Optical Products),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7853782002?gh_jid=7853782002,,applied,Manually submitted through automated process
Integration & Test Engineer (Optomechanical),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7611594002?gh_jid=7611594002,,applied,Manually submitted through automated process
Integration & Test Engineer (Satellite Test),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7792390002?gh_jid=7792390002,,applied,Manually submitted through automated process
Integration & Test Specialist (Bus & Payload Sub-Assemblies),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7831633002?gh_jid=7831633002,,applied,Manually submitted through automated process
Integration & Test Specialist (Bus & Payload Sub-Assemblies) - 2nd shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7831631002?gh_jid=7831631002,,applied,Manually submitted through automated process
Integration & Test Specialist (Composites Assembly & Integration),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7854332002?gh_jid=7854332002,,applied,Manually submitted through automated process
Integration & Test Specialist (Optical Products),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7854003002?gh_jid=7854003002,,applied,Manually submitted through automated process
Integration & Test Specialist (Starlink Satellite Integration & Test) – 1st Shift,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7854120002?gh_jid=7854120002,,applied,Manually submitted through automated process
Integration and Test Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7796518002?gh_jid=7796518002,,applied,Manually submitted through automated process
Avionics Hardware Engineer (Dragon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7868670002?gh_jid=7868670002,,applied,Manually submitted through automated process
Avionics Integration & Test Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7880049002?gh_jid=7880049002,,applied,Manually submitted through automated process
Avionics Systems Engineer (Crew Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7760175002?gh_jid=7760175002,,applied,Manually submitted through automated process
Avionics Systems Engineer (Dragon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7623221002?gh_jid=7623221002,,applied,Manually submitted through automated process
Avionics Systems Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7736385002?gh_jid=7736385002,,applied,Manually submitted through automated process
Avionics Test Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7796346002?gh_jid=7796346002,,applied,Manually submitted through automated process
Avionics Test Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7572612002?gh_jid=7572612002,,applied,Manually submitted through automated process
"Compliance Engineer, Global Market Access (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7606820002?gh_jid=7606820002,,applied,Manually submitted through automated process
Design for Manufacturing Engineer - PCBA (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7782580002?gh_jid=7782580002,,applied,Manually submitted through automated process
EEE Components Engineer,SpaceX,,https://boards.greenhouse.io/spacex/jobs/7779849002?gh_jid=7779849002,,applied,Manually submitted through automated process
Electrical Design Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802277002?gh_jid=7802277002,,applied,Manually submitted through automated process
"Electrical Design Engineer II, Satellites (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7812536002?gh_jid=7812536002,,applied,Manually submitted through automated process
"Electrical Design Engineer, (Avionics)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7741871002?gh_jid=7741871002,,applied,Manually submitted through automated process
"Electrical Design Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7833276002?gh_jid=7833276002,,applied,Manually submitted through automated process
"Electrical Design Engineer, Satellites (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7812511002?gh_jid=7812511002,,applied,Manually submitted through automated process
"Electrical Design Engineer, Starlink Ground Stations",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7776779002?gh_jid=7776779002,,applied,Manually submitted through automated process
Electrical Engineer (Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7742478002?gh_jid=7742478002,,applied,Manually submitted through automated process
Electrical Engineer (Crew Starship Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7784564002?gh_jid=7784564002,,applied,Manually submitted through automated process
Electrical Engineer (Power Systems),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7909142002?gh_jid=7909142002,,applied,Manually submitted through automated process
Electrical Engineer (Power Systems),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7909184002?gh_jid=7909184002,,applied,Manually submitted through automated process
Electrical Engineer (Starship Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7631114002?gh_jid=7631114002,,applied,Manually submitted through automated process
Electrical Engineer (Starship Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7535347002?gh_jid=7535347002,,applied,Manually submitted through automated process
"Electrical Engineer, Gateway Ground Stations (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7829019002?gh_jid=7829019002,,applied,Manually submitted through automated process
"Electrical Engineer, High Power (Launch)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7839278002?gh_jid=7839278002,,applied,Manually submitted through automated process
"Electrical Engineer, Instrumentation & Controls (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7867709002?gh_jid=7867709002,,applied,Manually submitted through automated process
"Electrical Engineer, Stage 0 (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7911257002?gh_jid=7911257002,,applied,Manually submitted through automated process
Electrical Project Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7835199002?gh_jid=7835199002,,applied,Manually submitted through automated process
Electrical Test and Reliability Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7807856002?gh_jid=7807856002,,applied,Manually submitted through automated process
"Electrical Test Development Engineer, Customer Hardware (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7835604002?gh_jid=7835604002,,applied,Manually submitted through automated process
"Electrical Test Engineer, Ground Stations (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7830481002?gh_jid=7830481002,,applied,Manually submitted through automated process
Electromagnetic Environmental Effects Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802238002?gh_jid=7802238002,,applied,Manually submitted through automated process
"Facilities Engineer, Electrical (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7907238002?gh_jid=7907238002,,applied,Manually submitted through automated process
Ground Segment Engineer (Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7603188002?gh_jid=7603188002,,applied,Manually submitted through automated process
Hardware Development Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7535415002?gh_jid=7535415002,,applied,Manually submitted through automated process
"Hardware Development Engineer, Failure Analysis (Starlink Gateways)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7676214002?gh_jid=7676214002,,applied,Manually submitted through automated process
"Hardware Engineer, Ground Segment",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7678226002?gh_jid=7678226002,,applied,Manually submitted through automated process
Hardware Reliability Engineer (Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7721460002?gh_jid=7721460002,,applied,Manually submitted through automated process
Lab Specialist (Electronic Components),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7790292002?gh_jid=7790292002,,applied,Manually submitted through automated process
Launch Automation & Controls Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7842917002?gh_jid=7842917002,,applied,Manually submitted through automated process
Lead Electrical Engineer (Starship Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7614127002?gh_jid=7614127002,,applied,Manually submitted through automated process
Manufacturing Engineer (Hardware (Starlink)),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7866026002?gh_jid=7866026002,,applied,Manually submitted through automated process
Manufacturing Engineer (Avionics Harnessing/Solar),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7763535002?gh_jid=7763535002,,applied,Manually submitted through automated process
PCB Designer (Avionics),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7687342002?gh_jid=7687342002,,applied,Manually submitted through automated process
PCB Designer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7825030002?gh_jid=7825030002,,applied,Manually submitted through automated process
PCB Designer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7846699002?gh_jid=7846699002,,applied,Manually submitted through automated process
"Power Components Engineer, Electrical (Starship)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7851591002?gh_jid=7851591002,,applied,Manually submitted through automated process
Power Electronics Engineer (Crew Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7741679002?gh_jid=7741679002,,applied,Manually submitted through automated process
Power Electronics Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7657622002?gh_jid=7657622002,,applied,Manually submitted through automated process
Power Electronics Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7636769002?gh_jid=7636769002,,applied,Manually submitted through automated process
"Product Compliance Engineer, RF/EMC/Wireless (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7606811002?gh_jid=7606811002,,applied,Manually submitted through automated process
"RF and Network Analysis Engineer, Regulatory (Starlink)",SpaceX,,https://boards.greenhouse.io/spacex/jobs/7837736002?gh_jid=7837736002,,applied,Manually submitted through automated process
RF Engineer (Crew Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7712351002?gh_jid=7712351002,,applied,Manually submitted through automated process
RF Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795361002?gh_jid=7795361002,,applied,Manually submitted through automated process
RF Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7802265002?gh_jid=7802265002,,applied,Manually submitted through automated process
RF Engineer (Starshield),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7557392002?gh_jid=7557392002,,applied,Manually submitted through automated process
RF Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7583887002?gh_jid=7583887002,,applied,Manually submitted through automated process
RF/Microwave Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7779635002?gh_jid=7779635002,,applied,Manually submitted through automated process
RF/Microwave Engineer II (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7812786002?gh_jid=7812786002,,applied,Manually submitted through automated process
Satellite Operations and Reliability Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7678529002?gh_jid=7678529002,,applied,Manually submitted through automated process
Sr. Antenna Engineer (Starlink),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7795383002?gh_jid=7795383002,,applied,Manually submitted through automated process
Sr. Automation & Controls Engineer (Launch Hardware),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7821717002?gh_jid=7821717002,,applied,Manually submitted through automated process
Sr. Automation & Controls Engineer (Starship),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7449433002?gh_jid=7449433002,,applied,Manually submitted through automated process
Sr. Avionics Engineer (Falcon),SpaceX,,https://boards.greenhouse.io/spacex/jobs/7893310002?gh_jid=7893310002,,applied,Manually submitted through automated process
