title,company,location,link,description,status,notes
"Power Electronics Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4333397006,,applied,Manually submitted through automated process
"Senior Electrical Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4313470006,,applied,Manually submitted through automated process
"Staff Security Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4434718006,,applied,Manually submitted through automated process
"Manufacturing Test Software Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4414646006,,applied,Manually submitted through automated process
"Camera System Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4352921006,,applied,Manually submitted through automated process
"Cybersecurity Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4330783006,,applied,Manually submitted through automated process
"Data Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4441264006,,applied,Manually submitted through automated process
"DevOps Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4009265006,,applied,Manually submitted through automated process
"FPGA Design Intern  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4448443006,,applied,Manually submitted through automated process
"Intern, Embedded Audio Signal ProcessingNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452316006,,applied,Manually submitted through automated process
"Intern, Embedded SoftwareNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4452423006,,applied,Manually submitted through automated process
"OTA Software EngineerNew  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4451496006,,applied,Manually submitted through automated process
"Senior Test Automation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4402299006,,applied,Manually submitted through automated process
"Software Engineer - Configuration  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4419735006,,applied,Manually submitted through automated process
"Software Engineer, Developer Tools and Productivity  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4370025006,,applied,Manually submitted through automated process
"Sr. Embedded Software Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4006360006,,applied,Manually submitted through automated process
"Sr. Firmware Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4006361006,,applied,Manually submitted through automated process
"Sr. Motor Controls Firmware Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4318438006,,applied,Manually submitted through automated process
"Maintenance Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4392728006,,applied,Manually submitted through automated process
"Maintenance Technician (Night Shift)  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4421185006,,applied,Manually submitted through automated process
"Prototype and Development Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4435887006,,applied,Manually submitted through automated process
"Prototype Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4420895006,,applied,Manually submitted through automated process
"Always Works Integration Engineer  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4391513006,,applied,Manually submitted through automated process
"Calibration Integration Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4431424006,,applied,Manually submitted through automated process
"Embedded Actuation Engineer  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4443990006,,applied,Manually submitted through automated process
"Systems Integration Engineer – Actuator Testing  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4423086006,,applied,Manually submitted through automated process
"Systems Integration Engineer – Hands  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4391518006,,applied,Manually submitted through automated process
"Systems Integration Engineer – Power Systems  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4433905006,,applied,Manually submitted through automated process
"Systems Integration Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4448425006,,applied,Manually submitted through automated process
"Systems Integration & Test – Actuator Test Lab Technician  Sunnyvale, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4438632006,,applied,Manually submitted through automated process
"Use Case Integration Engineer  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4417265006,,applied,Manually submitted through automated process
"Internal Behaviors Engineer  San Jose, CA",Figure AI,,https://job-boards.greenhouse.io/figureai/jobs/4387319006,,applied,Manually submitted through automated process
